"Territory","year","recruitment_female","recruitment_male","breeding_proba","hatching_success","productivity","wind_b2_prebreeding","wind_a7_prebreeding","rainfall_prebredding","min_T_prebreeding","max_T_prebreeding","wind_b2_incubation","wind_a7_incubation","rainfall_incubation","min_T_incubation","max_T_incubation","wind_b2_rearing","wind_a7_rearing","rainfall_rearing","min_T_rearing","max_T_rearing","number_recruitment","fledging_success"
16,2017,0,0,1,1,2,26,0,105.434,-3.509,10.888,13,0,31.524,4.15,12.322,52,0,258.801,5.714,26.326,"0",1
16,2018,0,0,1,1,2,24,0,181.469,0.035,11.253,11,0,112.737,-6.385,11.583,56,0,393.633,2.527,23.643,"0",1
16,2019,0,1,1,0,0,22,3,84.056,0.165,10.242,17,0,25.289,5.18,11.467,54,2,203.943,5.166,30.45,"M",0
16,2020,0,0,1,1,2,34,0,126.206,2.432,12.949,11,0,51.313,3.579,12.843,63,0,233.329,4.35,22.98,"0",1
16,2021,1,0,1,0,0,25,1,163.52,-1.843,10.763,16,0,21.344,3.328,10.597,50,0,264.403,3.341,24.666,"F",0
16,2022,0,0,1,1,1,32,0,63.278,0.114,12.792,13,0,53.418,2.42,11.656,63,0,130.728,1.557,27.816,"0",1
19,2009,0,0,1,1,1,19,0,220.884,-1.958,10.197,6,2,24.617,1.1,11.508,42,0,239.912,5.993,26.134,"0",1
19,2010,0,1,1,1,1,23,0,191.392,-3.206,11.816,7,0,101.754,-0.877,10.2,49,1,265.244,7.404,25.49,"M",1
19,2011,0,0,1,1,1,25,1,145.767,-1.714,11.813,10,0,93.815,4.986,10.552,50,0,157.073,8.054,24.473,"0",1
19,2012,1,0,0,0,0,14,7,18.458,-5.749,11.687,6,2,1.744,3.643,13.507,39,1,245.252,7.181,25.853,"F",0
19,2013,0,0,1,0,0,24,2,76.361,-1.688,10.572,8,1,64.48,-1.883,11.347,42,2,330.473,2.616,24.624,"0",0
19,2014,0,0,1,1,0,32,1,332.151,3.828,11.725,14,0,41.245,5.191,11.74,38,2,125.668,6.784,26.019,"0",0
19,2015,0,0,1,1,1,20,5,88.657,0.007,12.36,9,1,50.35,4.686,13.07,56,1,219.504,6.283,25.809,"0",1
19,2016,0,0,1,1,2,41,0,101.288,1.072,12.655,10,1,51.443,3.016,10.448,34,2,219.355,4.74,24.424,"0",1
19,2017,0,0,1,1,1,19,2,118.611,-1.79,12.275,14,0,28.964,5.649,13.93,50,1,221.832,7.425,27.116,"0",1
19,2018,0,0,1,1,1,20,0,196.178,1.477,12.822,6,0,114.722,-4.409,12.64,55,2,348.688,4.436,24.543,"0",1
19,2019,0,0,1,1,1,21,6,72.861,1.909,11.57,16,0,16.748,5.981,12.645,49,4,166.018,6.674,31.525,"0",1
19,2020,0,0,1,1,1,28,0,120.152,3.205,14.014,8,0,41.014,5.459,13.962,59,1,213.562,5.441,24.322,"0",1
19,2021,0,0,1,1,1,20,1,142.068,-0.521,11.694,15,0,25.117,4.627,11.33,47,0,210.632,5.056,25.998,"0",1
19,2022,0,0,1,1,1,30,1,55.813,0.842,14.264,12,0,61.531,3.733,12.957,57,1,105.016,3.407,28.723,"0",1
2,2009,0,0,1,1,2,32,0,154.921,-0.276,9.549,14,1,23.426,0.511,11.362,68,1,223.464,4.403,24.386,"0",1
2,2010,0,0,1,1,2,25,0,214.208,-3.424,12.348,8,0,82.695,1.071,9.655,63,1,314.161,6.481,23.703,"0",1
2,2011,0,0,1,1,2,38,0,117.264,-2.019,11.408,16,0,70.739,3.804,11.036,69,1,187.132,7.176,24.328,"0",1
2,2012,0,0,1,0,0,23,2,23.092,-4.918,11.322,21,1,1.426,3.575,12.178,50,0,232.552,7.398,26.328,"0",0
2,2013,0,0,1,1,1,24,2,90.567,-1.085,11.226,15,3,57.06,-1.976,10.604,41,1,294.723,2.599,26.491,"0",1
2,2014,1,0,1,1,2,26,1,438.228,3.457,11.09,13,0,52.477,5.122,11.617,56,0,139.262,6.836,24.747,"F",1
2,2015,0,0,1,1,2,28,0,109.876,0.627,13.58,16,1,69.452,5,11.969,58,4,183.661,6.994,24.416,"0",1
2,2016,0,0,1,1,1,43,0,75.578,1.742,13.363,11,0,61.448,4.02,10.77,39,1,120.994,5.827,24.917,"0",1
2,2017,0,0,1,1,2,29,2,82.104,-1.177,12.386,15,0,31.629,5.833,13.789,66,0,168.429,8.076,26.567,"0",1
2,2018,0,0,0,0,0,27,3,123.118,1.078,13.792,11,0,84.876,-2.881,11.752,65,0,303.586,3.602,24.394,"0",0
2,2019,0,0,1,1,2,32,2,77.762,0.324,12.157,15,0,2.617,5.357,12.259,56,1,141.779,6.851,30.381,"0",1
2,2020,0,0,1,1,1,33,0,102.31,3.394,15.883,10,0,38.14,4.826,12.955,69,0,217.89,2.886,24.689,"0",1
2,2021,0,0,1,1,1,25,0,124.901,-0.328,12.348,18,0,7.144,3.911,11.946,65,1,191.412,4.205,24.567,"0",1
2,2022,0,0,1,1,2,41,0,72.689,1.774,14.503,16,0,6.441,3.705,13.528,72,1,93.326,3.842,26.587,"0",1
20,2009,0,0,1,0,0,18,0,226.264,-1.921,10.162,6,2,24.541,1.321,11.705,39,0,243.36,6.237,26.288,"0",0
20,2010,0,0,1,1,2,23,0,191.195,-3.034,11.745,7,0,102.945,-0.831,10.248,49,1,259.479,7.496,25.572,"0",1
20,2011,0,0,1,1,1,24,2,146.987,-1.574,11.721,9,0,103.281,5.1,10.632,50,0,157.277,8.128,24.509,"0",1
20,2012,0,0,1,1,1,14,5,17.216,-5.563,11.785,6,3,1.516,3.814,13.659,39,1,243.069,7.282,25.921,"0",1
20,2013,1,0,1,0,0,24,2,77.149,-1.607,10.578,8,1,69.436,-1.8,11.446,39,2,331.621,2.791,24.327,"F",0
20,2014,1,0,0,0,0,30,1,313.74,3.901,11.716,14,0,38.849,5.325,11.66,37,2,126.392,6.836,26.05,"F",0
20,2015,0,0,1,0,0,18,5,83.798,0.045,12.382,9,1,47.462,4.786,13.361,54,1,219.207,6.192,26.02,"0",0
20,2016,1,0,1,1,1,40,0,102.904,1.097,12.745,9,1,53.868,3.07,10.619,32,2,223.166,4.926,24.456,"F",1
20,2017,0,0,1,0,0,18,2,129.925,-1.621,12.224,14,0,30.204,5.829,14.046,49,0,217.907,7.517,27.094,"0",0
20,2018,0,0,1,1,1,19,0,203.971,1.529,13.069,6,0,118.63,-4.281,12.639,55,2,348.823,4.581,24.531,"0",1
20,2019,0,0,1,1,2,21,6,69.673,1.983,11.681,16,0,16.363,6.056,12.863,48,3,165.473,6.68,31.568,"0",1
20,2020,0,0,1,1,1,26,0,123.48,3.249,14.117,8,0,39.617,5.834,14.014,58,0,216.963,5.583,24.305,"0",1
20,2021,0,0,1,1,2,20,1,140.17,-0.437,11.774,15,0,29.42,4.718,11.228,44,1,205.151,5.243,26.142,"0",1
20,2021,0,0,0,0,0,20,1,140.17,-0.437,11.774,15,0,29.42,4.718,11.228,44,1,205.151,5.243,26.142,"0",0
21,2009,0,0,1,1,2,18,0,242.01,-3.042,8.75,7,1,23.279,0.419,11.282,39,0,262.051,5.582,25.773,"0",1
21,2010,0,0,1,0,0,21,0,183.071,-4.051,10.524,7,0,105.596,-2.13,9.087,45,1,270.393,6.273,24.158,"0",0
21,2011,0,0,1,0,0,25,1,151.503,-2.531,10.604,8,0,127.777,4.293,10.074,48,0,159.475,7.36,24.182,"0",0
21,2012,1,0,1,0,0,13,3,26.338,-6.552,10.848,8,1,1.828,2.696,13.007,35,1,280.379,6.203,25.117,"F",0
21,2013,0,0,1,1,1,18,1,85.795,-2.973,9.758,10,1,79.283,-3.066,10.412,31,1,362.376,1.747,22.724,"0",1
21,2014,0,0,1,0,0,23,0,287.905,3.164,10.491,14,0,35.394,4.558,10.726,27,0,150.004,5.716,24.804,"0",0
21,2015,1,0,1,0,0,19,3,71.988,-0.92,11.658,8,1,38.538,3.616,12.943,46,0,220.987,4.976,25.495,"F",0
21,2016,0,0,1,1,1,34,0,124.864,0.26,11.747,8,1,63.934,2.162,10.54,30,2,267.147,4.453,23.628,"0",1
21,2017,0,0,1,1,2,18,0,167.631,-2.693,10.758,11,0,40.486,5.369,12.956,41,0,232.026,6.426,25.844,"0",1
21,2018,0,0,1,1,2,15,0,229.932,0.353,12.515,6,0,132.393,-5.247,11.681,48,2,381.395,3.567,23.725,"0",1
21,2019,0,0,1,1,2,19,3,66.943,0.762,11.043,14,0,20.667,5.638,12.289,43,2,190.013,5.324,30.405,"0",1
21,2020,0,0,1,1,1,23,0,149.691,2.963,13.326,8,0,48.578,5.033,12.934,48,0,245.674,4.995,23.237,"0",1
21,2021,1,0,1,1,0,18,0,155.179,-1.413,11.007,13,0,42.528,4.02,10.43,39,0,219.256,4.444,25.14,"F",0
21,2022,0,0,1,0,0,31,0,61.312,1.029,13.794,11,0,105.508,3.224,12.263,49,0,129.161,2.136,28.35,"0",0
22,2009,0,0,1,0,0,16,0,243.087,-2.194,9.623,7,1,23.951,1.317,11.703,37,0,253.456,6.346,26.403,"0",0
22,2010,0,0,1,0,0,21,0,189.58,-3.028,11.193,7,0,106.823,-1.118,9.975,42,1,250.464,7.195,25.184,"0",0
22,2011,0,0,1,0,0,24,1,145.906,-1.595,11.27,8,0,129.891,5.175,10.827,49,0,157.669,7.935,24.378,"0",0
22,2012,1,0,1,1,0,12,5,19.059,-5.51,11.637,7,2,1.4,3.613,13.455,34,1,249.357,7.14,25.693,"F",0
22,2013,0,0,1,1,2,21,2,81.546,-1.906,10.446,8,1,82.549,-2.052,11.281,30,2,340.753,2.772,23.242,"0",1
22,2014,0,0,1,1,2,25,0,263.331,3.773,11.292,14,0,33.826,5.362,11.177,27,2,135.83,6.61,25.698,"0",1
22,2015,0,1,1,1,2,18,3,70.678,-0.166,12.297,8,1,38,4.632,13.598,45,1,217.908,5.616,26.153,"M",1
22,2016,0,0,1,1,2,36,0,108.14,0.913,12.571,8,1,62.27,2.931,10.826,30,2,238.882,5.25,24.247,"0",1
22,2017,0,0,1,1,2,18,1,162.945,-1.786,11.648,10,0,36.477,6.151,13.81,44,0,212.058,7.411,26.551,"0",1
22,2018,0,0,1,1,2,17,0,227.42,1.2,13.349,6,0,129.822,-4.272,12.35,51,2,355.677,4.564,24.287,"0",1
22,2019,0,0,1,1,2,18,3,63.138,1.809,11.548,15,0,15.983,5.989,12.938,42,2,167.921,6.235,31.07,"0",1
22,2020,0,0,1,1,2,25,0,136.58,3.316,14.116,8,0,39.871,5.865,13.646,49,0,227.464,5.665,23.968,"0",1
22,2021,0,0,1,1,1,18,1,139.799,-0.711,11.729,16,0,42.269,4.661,11.02,40,1,198.313,5.287,26.058,"0",1
22,2022,0,0,1,1,0,30,1,53.885,1.384,14.591,11,0,104.411,3.857,13.033,50,0,115.788,3.22,28.754,"0",0
23,2020,1,1,0,0,0,23,0,146.227,3.241,13.623,8,0,46.552,5.332,13.118,46,0,244.736,5.181,23.574,"MF",0
23,2021,0,0,1,1,1,16,1,149.973,-1.109,11.424,12,0,46.141,4.441,10.758,36,0,203.728,4.842,25.581,"0",1
23,2022,0,1,1,1,0,30,1,60.917,1.123,14.162,10,0,114.357,3.6,12.554,46,1,128.469,2.54,28.559,"M",0
